tahun,bulan,jenis_sumur,pemakaian
2012,Januari,Sumur Bor,698678
2012,Februari,Sumur Bor,540571
2012,Maret,Sumur Bor,521065
2012,April,Sumur Bor,477973
2012,Mei,Sumur Bor,493976
2012,Juni,Sumur Bor,518489
2012,Juli,Sumur Bor,487348
2012,Agustus,Sumur Bor,491880
2012,September,Sumur Bor,459100
2012,Oktober,Sumur Bor,694244
2012,November,Sumur Bor,734596
2012,Desember,Sumur Bor,559537
2012,Januari,Sumur Pantek,118825
2012,Februari,Sumur Pantek,119867
2012,Maret,Sumur Pantek,107839
2012,April,Sumur Pantek,111718
2012,Mei,Sumur Pantek,104515
2012,Juni,Sumur Pantek,105845
2012,Juli,Sumur Pantek,111493
2012,Agustus,Sumur Pantek,106117
2012,September,Sumur Pantek,125231
2012,Oktober,Sumur Pantek,143533
2012,November,Sumur Pantek,146272
2012,Desember,Sumur Pantek,131995
